城市代码	城市	上级代码	简称	级别	区电话	邮编	拼音
330185	临安市	330100	临安	3	0571	311300	Lin'an	
330200	宁波市	330000	宁波	2	0574	315000	Ningbo	
330203	海曙区	330200	海曙	3	0574	315000	Haishu	
330204	江东区	330200	江东	3	0574	315040	Jiangdong	
330205	江北区	330200	江北	3	0574	315020	Jiangbei	
330206	北仑区	330200	北仑	3	0574	315800	Beilun	
330211	镇海区	330200	镇海	3	0574	315200	Zhenhai	
330212	鄞州区	330200	鄞州	3	0574	315100	Yinzhou	
330225	象山县	330200	象山	3	0574	315700	Xiangshan	
330226	宁海县	330200	宁海	3	0574	315600	Ninghai	
330281	余姚市	330200	余姚	3	0574	315400	Yuyao	
330282	慈溪市	330200	慈溪	3	0574	315300	Cixi	
330283	奉化市	330200	奉化	3	0574	315500	Fenghua	
330300	温州市	330000	温州	2	0577	325000	Wenzhou	
330302	鹿城区	330300	鹿城	3	0577	325000	Lucheng	
330303	龙湾区	330300	龙湾	3	0577	325013	Longwan	
330304	瓯海区	330300	瓯海	3	0577	325005	Ouhai	
330322	洞头县	330300	洞头	3	0577	325700	Dongtou	
330324	永嘉县	330300	永嘉	3	0577	325100	Yongjia	
330326	平阳县	330300	平阳	3	0577	325400	Pingyang	
330327	苍南县	330300	苍南	3	0577	325800	Cangnan	
330328	文成县	330300	文成	3	0577	325300	Wencheng	
330329	泰顺县	330300	泰顺	3	0577	325500	Taishun	
330381	瑞安市	330300	瑞安	3	0577	325200	Rui'an	
330382	乐清市	330300	乐清	3	0577	325600	Yueqing	
330400	嘉兴市	330000	嘉兴	2	0573	314000	Jiaxing	
330402	南湖区	330400	南湖	3	0573	314051	Nanhu	
330411	秀洲区	330400	秀洲	3	0573	314031	Xiuzhou	
330421	嘉善县	330400	嘉善	3	0573	314100	Jiashan	
330424	海盐县	330400	海盐	3	0573	314300	Haiyan	
330481	海宁市	330400	海宁	3	0573	314400	Haining	
330482	平湖市	330400	平湖	3	0573	314200	Pinghu	
330483	桐乡市	330400	桐乡	3	0573	314500	Tongxiang	
330500	湖州市	330000	湖州	2	0572	313000	Huzhou	
330502	吴兴区	330500	吴兴	3	0572	313000	Wuxing	
330503	南浔区	330500	南浔	3	0572	313009	Nanxun	
330521	德清县	330500	德清	3	0572	313200	Deqing	
330522	长兴县	330500	长兴	3	0572	313100	Changxing	
330523	安吉县	330500	安吉	3	0572	313300	Anji	
330600	绍兴市	330000	绍兴	2	0575	312000	Shaoxing	
330602	越城区	330600	越城	3	0575	312000	Yuecheng	
330603	柯桥区	330600	柯桥	3	0575	312030	Keqiao 	
330604	上虞区	330600	上虞	3	0575	312300	Shangyu	
330624	新昌县	330600	新昌	3	0575	312500	Xinchang	
330681	诸暨市	330600	诸暨	3	0575	311800	Zhuji	
330683	嵊州市	330600	嵊州	3	0575	312400	Shengzhou	
330700	金华市	330000	金华	2	0579	321000	Jinhua	
330702	婺城区	330700	婺城	3	0579	321000	Wucheng	
330703	金东区	330700	金东	3	0579	321000	Jindong	
330723	武义县	330700	武义	3	0579	321200	Wuyi	
330726	浦江县	330700	浦江	3	0579	322200	Pujiang	
330727	磐安县	330700	磐安	3	0579	322300	Pan'an	
330781	兰溪市	330700	兰溪	3	0579	321100	Lanxi	
330782	义乌市	330700	义乌	3	0579	322000	Yiwu	
330783	东阳市	330700	东阳	3	0579	322100	Dongyang	
330784	永康市	330700	永康	3	0579	321300	Yongkang	
330800	衢州市	330000	衢州	2	0570	324002	Quzhou	
330802	柯城区	330800	柯城	3	0570	324100	Kecheng	
330803	衢江区	330800	衢江	3	0570	324022	Qujiang	
330822	常山县	330800	常山	3	0570	324200	Changshan	
330824	开化县	330800	开化	3	0570	324300	Kaihua	
330825	龙游县	330800	龙游	3	0570	324400	Longyou	
330881	江山市	330800	江山	3	0570	324100	Jiangshan	
330900	舟山市	330000	舟山	2	0580	316000	Zhoushan	
330902	定海区	330900	定海	3	0580	316000	Dinghai	
330903	普陀区	330900	普陀	3	0580	316100	Putuo	
330921	岱山县	330900	岱山	3	0580	316200	Daishan	
330922	嵊泗县	330900	嵊泗	3	0580	202450	Shengsi	
331000	台州市	330000	台州	2	0576	318000	Taizhou	
331002	椒江区	331000	椒江	3	0576	318000	Jiaojiang	
331003	黄岩区	331000	黄岩	3	0576	318020	Huangyan	
331004	路桥区	331000	路桥	3	0576	318050	Luqiao	
331021	玉环县	331000	玉环	3	0576	317600	Yuhuan	
331022	三门县	331000	三门	3	0576	317100	Sanmen	
331023	天台县	331000	天台	3	0576	317200	Tiantai	
331024	仙居县	331000	仙居	3	0576	317300	Xianju	
331081	温岭市	331000	温岭	3	0576	317500	Wenling	
331082	临海市	331000	临海	3	0576	317000	Linhai	
331100	丽水市	330000	丽水	2	0578	323000	Lishui	
331102	莲都区	331100	莲都	3	0578	323000	Liandu	
331121	青田县	331100	青田	3	0578	323900	Qingtian	
331122	缙云县	331100	缙云	3	0578	321400	Jinyun	
331123	遂昌县	331100	遂昌	3	0578	323300	Suichang	
331124	松阳县	331100	松阳	3	0578	323400	Songyang	
331125	云和县	331100	云和	3	0578	323600	Yunhe	
331126	庆元县	331100	庆元	3	0578	323800	Qingyuan	
331127	景宁畲族自治县	331100	景宁	3	0578	323500	Jingning	
331181	龙泉市	331100	龙泉	3	0578	323700	Longquan	
331200	舟山群岛新区	330000	舟山新区	2	0580	316000	Zhoushan	
331201	金塘岛	331200	金塘	3	0580	316000	Jintang	
331202	六横岛	331200	六横	3	0580	316000	Liuheng	
331203	衢山岛	331200	衢山	3	0580	316000	Qushan	
331204	舟山本岛西北部	331200	舟山	3	0580	316000	Zhoushan	
331205	岱山岛西南部	331200	岱山	3	0580	316000	Daishan	
331206	泗礁岛	331200	泗礁	3	0580	316000	Sijiao	
331207	朱家尖岛	331200	朱家尖	3	0580	316000	Zhujiajian	
331208	洋山岛	331200	洋山	3	0580	316000	Yangshan	
331209	长涂岛	331200	长涂	3	0580	316000	Changtu	
331210	虾峙岛	331200	虾峙	3	0580	316000	Xiazhi	
340000	安徽省	100000	安徽	1		Anhui	
340100	合肥市	340000	合肥	2	0551	230001	Hefei	
340102	瑶海区	340100	瑶海	3	0551	230011	Yaohai	
340103	庐阳区	340100	庐阳	3	0551	230001	Luyang	
340104	蜀山区	340100	蜀山	3	0551	230031	Shushan	
340111	包河区	340100	包河	3	0551	230041	Baohe	
340121	长丰县	340100	长丰	3	0551	231100	Changfeng	
340122	肥东县	340100	肥东	3	0551	231600	Feidong	
340123	肥西县	340100	肥西	3	0551	231200	Feixi	
340124	庐江县	340100	庐江	3	0565	231500	Lujiang	
340181	巢湖市	340100	巢湖	3	0565	238000	Chaohu	
340200	芜湖市	340000	芜湖	2	0551	241000	Wuhu	
340202	镜湖区	340200	镜湖	3	0553	241000	Jinghu	
340203	弋江区	340200	弋江	3	0553	241000	Yijiang	
340207	鸠江区	340200	鸠江	3	0553	241000	Jiujiang	
340208	三山区	340200	三山	3	0553	241000	Sanshan	
340221	芜湖县	340200	芜湖	3	0553	241100	Wuhu	
340222	繁昌县	340200	繁昌	3	0553	241200	Fanchang	
340223	南陵县	340200	南陵	3	0553	242400	Nanling	
340225	无为县	340200	无为	3	0565	238300	Wuwei	
340300	蚌埠市	340000	蚌埠	2	0552	233000	Bengbu	
340302	龙子湖区	340300	龙子湖	3	0552	233000	Longzihu	
340303	蚌山区	340300	蚌山	3	0552	233000	Bengshan	
340304	禹会区	340300	禹会	3	0552	233010	Yuhui	
340311	淮上区	340300	淮上	3	0552	233002	Huaishang	
340321	怀远县	340300	怀远	3	0552	233400	Huaiyuan	
340322	五河县	340300	五河	3	0552	233300	Wuhe	
340323	固镇县	340300	固镇	3	0552	233700	Guzhen	
340400	淮南市	340000	淮南	2	0554	232001	Huainan	
340402	大通区	340400	大通	3	0554	232033	Datong	
340403	田家庵区	340400	田家庵	3	0554	232000	Tianjiaan	
340404	谢家集区	340400	谢家集	3	0554	232052	Xiejiaji	
340405	八公山区	340400	八公山	3	0554	232072	Bagongshan	
340406	潘集区	340400	潘集	3	0554	232082	Panji	
340421	凤台县	340400	凤台	3	0554	232100	Fengtai	
340500	马鞍山市	340000	马鞍山	2	0555	243001	Ma'anshan	
340503	花山区	340500	花山	3	0555	243000	Huashan	
340504	雨山区	340500	雨山	3	0555	243071	Yushan	
340506	博望区	340500	博望	3	0555	243131	Bowang	
340521	当涂县	340500	当涂	3	0555	243100	Dangtu	
340522	含山县	340500	含山	3	0555	238100	Hanshan 	
340523	和县	340500	和县	3	0555	238200	Hexian	
340600	淮北市	340000	淮北	2	0561	235000	Huaibei	
340602	杜集区	340600	杜集	3	0561	235000	Duji	
340603	相山区	340600	相山	3	0561	235000	Xiangshan	
340604	烈山区	340600	烈山	3	0561	235000	Lieshan	
340621	濉溪县	340600	濉溪	3	0561	235100	Suixi	
340700	铜陵市	340000	铜陵	2	0562	244000	Tongling	
340702	铜官山区	340700	铜官山	3	0562	244000	Tongguanshan	
340703	狮子山区	340700	狮子山	3	0562	244000	Shizishan	
340711	郊区	340700	郊区	3	0562	244000	Jiaoqu	
340721	铜陵县	340700	铜陵	3	0562	244100	Tongling	
340800	安庆市	340000	安庆	2	0556	246001	Anqing	
340802	迎江区	340800	迎江	3	0556	246001	Yingjiang	
340803	大观区	340800	大观	3	0556	246002	Daguan	
340811	宜秀区	340800	宜秀	3	0556	246003	Yixiu	
340822	怀宁县	340800	怀宁	3	0556	246100	Huaining	
340823	枞阳县	340800	枞阳	3	0556	246700	Zongyang	
340824	潜山县	340800	潜山	3	0556	246300	Qianshan	
340825	太湖县	340800	太湖	3	0556	246400	Taihu	
340826	宿松县	340800	宿松	3	0556	246500	Susong	
340827	望江县	340800	望江	3	0556	246200	Wangjiang	
340828	岳西县	340800	岳西	3	0556	246600	Yuexi	
340881	桐城市	340800	桐城	3	0556	231400	Tongcheng	
341000	黄山市	340000	黄山	2	0559	245000	Huangshan	
341002	屯溪区	341000	屯溪	3	0559	245000	Tunxi	
341003	黄山区	341000	黄山	3	0559	242700	Huangshan	
341004	徽州区	341000	徽州	3	0559	245061	Huizhou	
341021	歙县	341000	歙县	3	0559	245200	Shexian	
341022	休宁县	341000	休宁	3	0559	245400	Xiuning	
341023	黟县	341000	黟县	3	0559	245500	Yixian	
341024	祁门县	341000	祁门	3	0559	245600	Qimen	
341100	滁州市	340000	滁州	2	0550	239000	Chuzhou	
341102	琅琊区	341100	琅琊	3	0550	239000	Langya	
341103	南谯区	341100	南谯	3	0550	239000	Nanqiao	
341122	来安县	341100	来安	3	0550	239200	Lai'an	
341124	全椒县	341100	全椒	3	0550	239500	Quanjiao	
341125	定远县	341100	定远	3	0550	233200	Dingyuan	
341126	凤阳县	341100	凤阳	3	0550	233100	Fengyang	
341181	天长市	341100	天长	3	0550	239300	Tianchang	
341182	明光市	341100	明光	3	0550	239400	Mingguang	
341200	阜阳市	340000	阜阳	2	0558	236033	Fuyang	
341202	颍州区	341200	颍州	3	0558	236001	Yingzhou	
341203	颍东区	341200	颍东	3	0558	236058	Yingdong	
341204	颍泉区	341200	颍泉	3	0558	236045	Yingquan	
341221	临泉县	341200	临泉	3	0558	236400	Linquan	
341222	太和县	341200	太和	3	0558	236600	Taihe	
341225	阜南县	341200	阜南	3	0558	236300	Funan	
341226	颍上县	341200	颍上	3	0558	236200	Yingshang	
341282	界首市	341200	界首	3	0558	236500	Jieshou	
341300	宿州市	340000	宿州	2	0557	234000	Suzhou	
341302	埇桥区	341300	埇桥	3	0557	234000	Yongqiao	
341321	砀山县	341300	砀山	3	0557	235300	Dangshan	
341322	萧县	341300	萧县	3	0557	235200	Xiaoxian	
341323	灵璧县	341300	灵璧	3	0557	234200	Lingbi	
341324	泗县	341300	泗县	3	0557	234300	Sixian	
341500	六安市	340000	六安	2	0564	237000	Lu'an	
341502	金安区	341500	金安	3	0564	237005	Jin'an	
341503	裕安区	341500	裕安	3	0564	237010	Yu'an	
341521	寿县	341500	寿县	3	0564	232200	Shouxian	
341522	霍邱县	341500	霍邱	3	0564	237400	Huoqiu	
341523	舒城县	341500	舒城	3	0564	231300	Shucheng	
341524	金寨县	341500	金寨	3	0564	237300	Jinzhai	
341525	霍山县	341500	霍山	3	0564	237200	Huoshan	
341600	亳州市	340000	亳州	2	0558	236802	Bozhou	
341602	谯城区	341600	谯城	3	0558	236800	Qiaocheng	
341621	涡阳县	341600	涡阳	3	0558	233600	Guoyang	
341622	蒙城县	341600	蒙城	3	0558	233500	Mengcheng	
341623	利辛县	341600	利辛	3	0558	236700	Lixin	
341700	池州市	340000	池州	2	0566	247100	Chizhou	
341702	贵池区	341700	贵池	3	0566	247100	Guichi	
341721	东至县	341700	东至	3	0566	247200	Dongzhi	
341722	石台县	341700	石台	3	0566	245100	Shitai	
341723	青阳县	341700	青阳	3	0566	242800	Qingyang	
341800	宣城市	340000	宣城	2	0563	242000	Xuancheng	
341802	宣州区	341800	宣州	3	0563	242000	Xuanzhou	
341821	郎溪县	341800	郎溪	3	0563	242100	Langxi	
341822	广德县	341800	广德	3	0563	242200	Guangde	
341823	泾县	341800	泾县	3	0563	242500	Jingxian	
341824	绩溪县	341800	绩溪	3	0563	245300	Jixi	
341825	旌德县	341800	旌德	3	0563	242600	Jingde	
341881	宁国市	341800	宁国	3	0563	242300	Ningguo	
350000	福建省	100000	福建	1		Fujian	
350100	福州市	350000	福州	2	0591	350001	Fuzhou	
350102	鼓楼区	350100	鼓楼	3	0591	350001	Gulou	
350103	台江区	350100	台江	3	0591	350004	Taijiang	
350104	仓山区	350100	仓山	3	0591	350007	Cangshan	
350105	马尾区	350100	马尾	3	0591	350015	Mawei	
350111	晋安区	350100	晋安	3	0591	350011	Jin'an	
350121	闽侯县	350100	闽侯	3	0591	350100	Minhou	
350122	连江县	350100	连江	3	0591	350500	Lianjiang	
350123	罗源县	350100	罗源	3	0591	350600	Luoyuan	
350124	闽清县	350100	闽清	3	0591	350800	Minqing	
350125	永泰县	350100	永泰	3	0591	350700	Yongtai	
350128	平潭县	350100	平潭	3	0591	350400	Pingtan	
350181	福清市	350100	福清	3	0591	350300	Fuqing	
350182	长乐市	350100	长乐	3	0591	350200	Changle	
350200	厦门市	350000	厦门	2	0592	361003	Xiamen	
350203	思明区	350200	思明	3	0592	361001	Siming	
350205	海沧区	350200	海沧	3	0592	361026	Haicang	
350206	湖里区	350200	湖里	3	0592	361006	Huli	
350211	集美区	350200	集美	3	0592	361021	Jimei	
350212	同安区	350200	同安	3	0592	361100	Tong'an	
350213	翔安区	350200	翔安	3	0592	361101	Xiang'an	
350300	莆田市	350000	莆田	2	0594	351100	Putian	
350302	城厢区	350300	城厢	3	0594	351100	Chengxiang	
350303	涵江区	350300	涵江	3	0594	351111	Hanjiang	
350304	荔城区	350300	荔城	3	0594	351100	Licheng	
350305	秀屿区	350300	秀屿	3	0594	351152	Xiuyu	
350322	仙游县	350300	仙游	3	0594	351200	Xianyou	
350400	三明市	350000	三明	2	0598	365000	Sanming	
350402	梅列区	350400	梅列	3	0598	365000	Meilie	
350403	三元区	350400	三元	3	0598	365001	Sanyuan	
350421	明溪县	350400	明溪	3	0598	365200	Mingxi	
350423	清流县	350400	清流	3	0598	365300	Qingliu	
350424	宁化县	350400	宁化	3	0598	365400	Ninghua	
350425	大田县	350400	大田	3	0598	366100	Datian	
350426	尤溪县	350400	尤溪	3	0598	365100	Youxi	
350427	沙县	350400	沙县	3	0598	365500	Shaxian	
350428	将乐县	350400	将乐	3	0598	353300	Jiangle	
350429	泰宁县	350400	泰宁	3	0598	354400	Taining	
350430	建宁县	350400	建宁	3	0598	354500	Jianning	
350481	永安市	350400	永安	3	0598	366000	Yong'an	
350500	泉州市	350000	泉州	2	0595	362000	Quanzhou	
350502	鲤城区	350500	鲤城	3	0595	362000	Licheng	
350503	丰泽区	350500	丰泽	3	0595	362000	Fengze	
350504	洛江区	350500	洛江	3	0595	362011	Luojiang	
350505	泉港区	350500	泉港	3	0595	362114	Quangang	
350521	惠安县	350500	惠安	3	0595	362100	Hui'an	
350524	安溪县	350500	安溪	3	0595	362400	Anxi	
350525	永春县	350500	永春	3	0595	362600	Yongchun	
350526	德化县	350500	德化	3	0595	362500	Dehua	
350527	金门县	350500	金门	3		Jinmen	
350581	石狮市	350500	石狮	3	0595	362700	Shishi	
350582	晋江市	350500	晋江	3	0595	362200	Jinjiang	
350583	南安市	350500	南安	3	0595	362300	Nan'an	
350600	漳州市	350000	漳州	2	0596	363005	Zhangzhou	
350602	芗城区	350600	芗城	3	0596	363000	Xiangcheng	
350603	龙文区	350600	龙文	3	0596	363005	Longwen	
350622	云霄县	350600	云霄	3	0596	363300	Yunxiao	
350623	漳浦县	350600	漳浦	3	0596	363200	Zhangpu	
350624	诏安县	350600	诏安	3	0596	363500	Zhao'an	
350625	长泰县	350600	长泰	3	0596	363900	Changtai	
350626	东山县	350600	东山	3	0596	363400	Dongshan	
350627	南靖县	350600	南靖	3	0596	363600	Nanjing	
350628	平和县	350600	平和	3	0596	363700	Pinghe	
350629	华安县	350600	华安	3	0596	363800	Hua'an	
350681	龙海市	350600	龙海	3	0596	363100	Longhai	
350700	南平市	350000	南平	2	0599	353000	Nanping	
350702	延平区	350700	延平	3	0600	353000	Yanping	
350703	建阳区	350700	建阳	3	0599	354200	Jianyang	
350721	顺昌县	350700	顺昌	3	0605	353200	Shunchang	
350722	浦城县	350700	浦城	3	0606	353400	Pucheng	
350723	光泽县	350700	光泽	3	0607	354100	Guangze	
350724	松溪县	350700	松溪	3	0608	353500	Songxi	
350725	政和县	350700	政和	3	0609	353600	Zhenghe	
350781	邵武市	350700	邵武	3	0601	354000	Shaowu	
350782	武夷山市	350700	武夷山	3	0602	354300	Wuyishan	
350783	建瓯市	350700	建瓯	3	0603	353100	Jianou	
350800	龙岩市	350000	龙岩	2	0597	364000	Longyan	
350802	新罗区	350800	新罗	3	0597	364000	Xinluo	
350821	长汀县	350800	长汀	3	0597	366300	Changting	
350822	永定区	350800	永定	3	0597	364100	Yongding	
350823	上杭县	350800	上杭	3	0597	364200	Shanghang	
350824	武平县	350800	武平	3	0597	364300	Wuping	
350825	连城县	350800	连城	3	0597	366200	Liancheng	
350881	漳平市	350800	漳平	3	0597	364400	Zhangping	
350900	宁德市	350000	宁德	2	0593	352100	Ningde	
350902	蕉城区	350900	蕉城	3	0593	352100	Jiaocheng	
350921	霞浦县	350900	霞浦	3	0593	355100	Xiapu	
350922	古田县	350900	古田	3	0593	352200	Gutian	
350923	屏南县	350900	屏南	3	0593	352300	Pingnan	
350924	寿宁县	350900	寿宁	3	0593	355500	Shouning	
350925	周宁县	350900	周宁	3	0593	355400	Zhouning	
350926	柘荣县	350900	柘荣	3	0593	355300	Zherong	
350981	福安市	350900	福安	3	0593	355000	Fu'an	
350982	福鼎市	350900	福鼎	3	0593	355200	Fuding	
360000	江西省	100000	江西	1		Jiangxi	
360100	南昌市	360000	南昌	2	0791	330008	Nanchang	
360102	东湖区	360100	东湖	3	0791	330006	Donghu	
360103	西湖区	360100	西湖	3	0791	330009	Xihu	
360104	青云谱区	360100	青云谱	3	0791	330001	Qingyunpu	
360105	湾里区	360100	湾里	3	0791	330004	Wanli	
360111	青山湖区	360100	青山湖	3	0791	330029	Qingshanhu	
360121	南昌县	360100	南昌	3	0791	330200	Nanchang	
360122	新建县	360100	新建	3	0791	330100	Xinjian	
360123	安义县	360100	安义	3	0791	330500	Anyi	
360124	进贤县	360100	进贤	3	0791	331700	Jinxian	
360200	景德镇市	360000	景德镇	2	0798	333000	Jingdezhen	
360202	昌江区	360200	昌江	3	0799	333000	Changjiang	
360203	珠山区	360200	珠山	3	0800	333000	Zhushan	
360222	浮梁县	360200	浮梁	3	0802	333400	Fuliang	
360281	乐平市	360200	乐平	3	0801	333300	Leping	
360300	萍乡市	360000	萍乡	2	0799	337000	Pingxiang	
360302	安源区	360300	安源	3	0800	337000	Anyuan	
360313	湘东区	360300	湘东	3	0801	337016	Xiangdong	
360321	莲花县	360300	莲花	3	0802	337100	Lianhua	
360322	上栗县	360300	上栗	3	0803	337009	Shangli	
360323	芦溪县	360300	芦溪	3	0804	337053	Luxi	
360400	九江市	360000	九江	2	0792	332000	Jiujiang	
360402	庐山区	360400	庐山	3	0792	332005	Lushan	
360403	浔阳区	360400	浔阳	3	0792	332000	Xunyang	
360421	九江县	360400	九江	3	0792	332100	Jiujiang	
360423	武宁县	360400	武宁	3	0792	332300	Wuning	
360424	修水县	360400	修水	3	0792	332400	Xiushui	
360425	永修县	360400	永修	3	0792	330300	Yongxiu	
360426	德安县	360400	德安	3	0792	330400	De'an	
360427	星子县	360400	星子	3	0792	332800	Xingzi	
360428	都昌县	360400	都昌	3	0792	332600	Duchang	
360429	湖口县	360400	湖口	3	0792	332500	Hukou	
360430	彭泽县	360400	彭泽	3	0792	332700	Pengze	
360481	瑞昌市	360400	瑞昌	3	0792	332200	Ruichang	
360482	共青城市	360400	共青城	3	0792	332020	Gongqingcheng	
360500	新余市	360000	新余	2	0790	338025	Xinyu	
360502	渝水区	360500	渝水	3	0790	338025	Yushui	
360521	分宜县	360500	分宜	3	0790	336600	Fenyi	
360600	鹰潭市	360000	鹰潭	2	0701	335000	Yingtan	
360602	月湖区	360600	月湖	3	0701	335000	Yuehu	
360622	余江县	360600	余江	3	0701	335200	Yujiang	
360681	贵溪市	360600	贵溪	3	0701	335400	Guixi	
360700	赣州市	360000	赣州	2	0797	341000	Ganzhou	
360702	章贡区	360700	章贡	3	0797	341000	Zhanggong	
360703	南康区	360700	南康	3	0797	341400	Nankang	
360721	赣县	360700	赣县	3	0797	341100	Ganxian	
360722	信丰县	360700	信丰	3	0797	341600	Xinfeng	
360723	大余县	360700	大余	3	0797	341500	Dayu	
360724	上犹县	360700	上犹	3	0797	341200	Shangyou	
360725	崇义县	360700	崇义	3	0797	341300	Chongyi	
360726	安远县	360700	安远	3	0797	342100	Anyuan	
360727	龙南县	360700	龙南	3	0797	341700	Longnan	
360728	定南县	360700	定南	3	0797	341900	Dingnan	
360729	全南县	360700	全南	3	0797	341800	Quannan	
360730	宁都县	360700	宁都	3	0797	342800	Ningdu	
360731	于都县	360700	于都	3	0797	342300	Yudu	
360732	兴国县	360700	兴国	3	0797	342400	Xingguo	
360733	会昌县	360700	会昌	3	0797	342600	Huichang	
360734	寻乌县	360700	寻乌	3	0797	342200	Xunwu	
360735	石城县	360700	石城	3	0797	342700	Shicheng	
360781	瑞金市	360700	瑞金	3	0797	342500	Ruijin	
360800	吉安市	360000	吉安	2	0796	343000	Ji'an	
360802	吉州区	360800	吉州	3	0796	343000	Jizhou	
360803	青原区	360800	青原	3	0796	343009	Qingyuan	
360821	吉安县	360800	吉安	3	0796	343100	Ji'an	
360822	吉水县	360800	吉水	3	0796	331600	Jishui	
360823	峡江县	360800	峡江	3	0796	331409	Xiajiang	
360824	新干县	360800	新干	3	0796	331300	Xingan	
360825	永丰县	360800	永丰	3	0796	331500	Yongfeng	
360826	泰和县	360800	泰和	3	0796	343700	Taihe	
360827	遂川县	360800	遂川	3	0796	343900	Suichuan	
360828	万安县	360800	万安	3	0796	343800	Wan'an	
360829	安福县	360800	安福	3	0796	343200	Anfu	
360830	永新县	360800	永新	3	0796	343400	Yongxin	
360881	井冈山市	360800	井冈山	3	0796	343600	Jinggangshan	
360900	宜春市	360000	宜春	2	0795	336000	Yichun	
360902	袁州区	360900	袁州	3	0795	336000	Yuanzhou	
360921	奉新县	360900	奉新	3	0795	330700	Fengxin	
360922	万载县	360900	万载	3	0795	336100	Wanzai	
360923	上高县	360900	上高	3	0795	336400	Shanggao	
360924	宜丰县	360900	宜丰	3	0795	336300	Yifeng	
360925	靖安县	360900	靖安	3	0795	330600	Jing'an	
360926	铜鼓县	360900	铜鼓	3	0795	336200	Tonggu	
360981	丰城市	360900	丰城	3	0795	331100	Fengcheng	
360982	樟树市	360900	樟树	3	0795	331200	Zhangshu	
360983	高安市	360900	高安	3	0795	330800	Gao'an	
361000	抚州市	360000	抚州	2	0794	344000	Fuzhou	
361002	临川区	361000	临川	3	0794	344000	Linchuan	
361021	南城县	361000	南城	3	0794	344700	Nancheng	
361022	黎川县	361000	黎川	3	0794	344600	Lichuan	
361023	南丰县	361000	南丰	3	0794	344500	Nanfeng	
361024	崇仁县	361000	崇仁	3	0794	344200	Chongren	
361025	乐安县	361000	乐安	3	0794	344300	Le'an	
361026	宜黄县	361000	宜黄	3	0794	344400	Yihuang	
361027	金溪县	361000	金溪	3	0794	344800	Jinxi	
361028	资溪县	361000	资溪	3	0794	335300	Zixi	
361029	东乡县	361000	东乡	3	0794	331800	Dongxiang	
361030	广昌县	361000	广昌	3	0794	344900	Guangchang	
361100	上饶市	360000	上饶	2	0793	334000	Shangrao	
361102	信州区	361100	信州	3	0793	334000	Xinzhou	
361121	上饶县	361100	上饶	3	0793	334100	Shangrao	
361122	广丰县	361100	广丰	3	0793	334600	Guangfeng	
361123	玉山县	361100	玉山	3	0793	334700	Yushan	
361124	铅山县	361100	铅山	3	0793	334500	Yanshan	
361125	横峰县	361100	横峰	3	0793	334300	Hengfeng	
361126	弋阳县	361100	弋阳	3	0793	334400	Yiyang	
361127	余干县	361100	余干	3	0793	335100	Yugan	
361128	鄱阳县	361100	鄱阳	3	0793	333100	Poyang	
361129	万年县	361100	万年	3	0793	335500	Wannian	
361130	婺源县	361100	婺源	3	0793	333200	Wuyuan	
361181	德兴市	361100	德兴	3	0793	334200	Dexing	
370000	山东省	100000	山东	1		Shandong	
370100	济南市	370000	济南	2	0531	250001	Jinan	
370102	历下区	370100	历下	3	0531	250014	Lixia	
370103	市中区	370100	市中区	3	0531	250001	Shizhongqu	
370104	槐荫区	370100	槐荫	3	0531	250117	Huaiyin	
370105	天桥区	370100	天桥	3	0531	250031	Tianqiao	
370112	历城区	370100	历城	3	0531	250100	Licheng	
370113	长清区	370100	长清	3	0531	250300	Changqing	
370124	平阴县	370100	平阴	3	0531	250400	Pingyin	
370125	济阳县	370100	济阳	3	0531	251400	Jiyang	
370126	商河县	370100	商河	3	0531	251600	Shanghe	
370181	章丘市	370100	章丘	3	0531	250200	Zhangqiu	
370200	青岛市	370000	青岛	2	0532	266001	Qingdao	
370202	市南区	370200	市南	3	0532	266001	Shinan	
370203	市北区	370200	市北	3	0532	266011	Shibei	
370211	黄岛区	370200	黄岛	3	0532	266500	Huangdao	
370212	崂山区	370200	崂山	3	0532	266100	Laoshan	
370213	李沧区	370200	李沧	3	0532	266021	Licang	
370214	城阳区	370200	城阳	3	0532	266041	Chengyang	
370281	胶州市	370200	胶州	3	0532	266300	Jiaozhou	
370282	即墨市	370200	即墨	3	0532	266200	Jimo	
370283	平度市	370200	平度	3	0532	266700	Pingdu	
370285	莱西市	370200	莱西	3	0532	266600	Laixi	
370286	西海岸新区	370200	西海岸	3	0532	266500	Xihai'an	
370300	淄博市	370000	淄博	2	0533	255039	Zibo	
370302	淄川区	370300	淄川	3	0533	255100	Zichuan	
370303	张店区	370300	张店	3	0533	255022	Zhangdian	
370304	博山区	370300	博山	3	0533	255200	Boshan	
370305	临淄区	370300	临淄	3	0533	255400	Linzi	
370306	周村区	370300	周村	3	0533	255300	Zhoucun	
370321	桓台县	370300	桓台	3	0533	256400	Huantai	
370322	高青县	370300	高青	3	0533	256300	Gaoqing	
370323	沂源县	370300	沂源	3	0533	256100	Yiyuan	
370400	枣庄市	370000	枣庄	2	0632	277101	Zaozhuang	
370402	市中区	370400	市中区	3	0632	277101	Shizhongqu	
370403	薛城区	370400	薛城	3	0632	277000	Xuecheng	
370404	峄城区	370400	峄城	3	0632	277300	Yicheng	
370405	台儿庄区	370400	台儿庄	3	0632	277400	Taierzhuang	
370406	山亭区	370400	山亭	3	0632	277200	Shanting	
